"LENGTH","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.74156,NA,NA,NA,NA,NA,NA,NA,15.16
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.862,NA,8.26076874,NA,NA,NA,2.34201256,NA,0.06645586,NA,27.04
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.091696,NA,10.351237,8.736398,34.161,NA,NA,NA,NA,NA,17.237552
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.039,NA,NA,62.2164658,5.867,52.33,12.8372011,1.8671272,NA,0.1892146,0.9122717,45.1816801
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4853601,134.5811553,NA,1.227,8.179,287.4593012,31.3766335,30.3315636,0.9228404,45.12921,0.5314656,157.4645147
10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04905907
10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1737199,NA,NA,NA,NA,NA,0.2259645,NA,NA,NA,NA
10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06661216,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.178125,345.417,8.713346,20.722,7.753,308.560492,124.628745,33.183444,1.982139,93.474229,1.152589,315.35851
12,NA,1.403,NA,NA,NA,NA,NA,NA,NA,94.602,394.284,158.417104,15.405,28.459086,616.568478,325.70484,62,9.709082,230.525197,1.198609,387.810096
13,1.19,0.692,NA,0.08,NA,NA,0.11,NA,NA,129.67,347.81268,270.29633,160.652,56.43329,683.86274,479.48786,106.62166,15.59229,99.29171,12.21568,526.90515
14,1.19,3.11,0.517,0.19,0.05,NA,0.13,NA,6.14,169.858,453.25,441.93581,290.621,73.93411,893.53898,914.4495,220.134,39.30583,280.93301,34.63318,684.1159
15,9.781,7.758,1.035,0.47,0.26,0.01,0.43,4.93,9.21,142.589,313.51844,367.17033,293.517,138.868,932.26575,1260.86342,433.96201,25.35925,239.26365,36.48286,750.34753
16,8.491,9.678,20.441,1.36,0.01,0.23,1.04,24.09,6.76,60.53228,539.41968,307.58537,199.244,104.01862,727.36632,1372.84743,587.76749,21.78943,838.68464,44.35825,644.02699
17,9.537,13.611,14.927,1.63,0.3,2.25,6.24,36.55,5.14,75.357,255.35066,241.78075,252.14,231.27332,831.94477,1384.91053,419.06604,11.35109,1313.00109,167.04954,909.82805
18,30.217,18.07,15.768,1.37,1.62,7.21,8.37,45.16,27.76,96.78403,137.56303,166.28208,293.82728,188.61907,888.10756,1111.56899,407.94061,18.94821,2713.9602,391.05684,1639.49488
19,35.271,31.342,35.992,2.7,5.68,3.56,18.73,102.88,26.18,93.96084,188.73905,105.10561,314.44199,256.46615,698.15382,1252.26155,435.39993,13.72318,6283.61512,973.451,4276.5473
20,57.124,48.434,37.58,6.64,12.97,14.74,20.09,132.51,49.19,109.77,102.74873,120.04544,129.385,179.35659,936.19904,694.54927,554.60431,17.36313,11589.05196,4570.24491,15746.45842
21,91.502,49.577,37.868,23.83,20.61,13.1,32.76,123.52,60.31,66.615,136.81561,198.91685,250.35635,183.6384,744.63271,713.67019,398.29326,12.26251,15189.52325,7932.44589,24638.37335
22,78.291,55.994,49.235,31.66,32.22,21.22,37.3,194.44,85.22,38.85531,145.59762,192.16925,327.40069,154.26436,684.52829,644.45271,545.26031,18.31657,15462.27559,13536.36413,37334.55508
23,94.928,74.584,71.443,43.13,43.5,36.3,55.01,183.07,127.94,51.17,117.49738,128.80831,131.78473,171.35424,586.36748,404.42493,347.31231,14.13415,13181.10837,16510.98645,43585.6418
24,119.798,87.588,110.059,59.1,64.3,34.95,57.87,154.9,169.86,107.98531,92.68031,168.74715,197.1479,151.87239,461.47261,226.83087,370.36283,14.81583,9040.91105,15126.62325,38264.20615
25,100.446,92.721,92.369,62.28,45.42,61.8,70.06,162.38,203.71,88.10254,150.01837,165.24342,436.89209,98.04762,266.14486,234.17464,397.01166,17.38981,9513.99406,19281.15108,44664.81575
26,78.136,101.747,96.781,66.65,71.19,64.1,54.9,154.53,202.04,158.99252,115.02568,166.50808,208.49641,94.18568,122.10042,198.17303,164.6415,17.41593,11535.64691,11099.50334,26347.32257
27,135.467,109.851,106.09,77.18,89.12,58.51,47.98,157.38,190.99,178.29756,78.29221,97.4512,210.58731,61.87062,63.67935,110.3382,95.89957,24.52755,13238.92129,10653.17268,18171.4945
28,85.436,127.772,79.556,80.42,91.7,68.85,47.75,126.24,192.79,183.71831,76.4778,89.73467,195.84926,87.46928,127.35707,150.37342,66.278,22.10245,NA,NA,11640.67823
29,85.987,114.437,67.701,51.73,96.97,59.59,58.68,116.52,136.04,165.25974,55.65898,92.55293,262.51816,138.02449,153.32624,195.93855,118.02768,NA,NA,NA,6749.09692
29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247484
30,100.388,108.92,68.074,94.9,111.53,91.25,66.05,122.43,122.21,183.83019,76.87081,101.27787,287.92285,183.7977,163.67283,247.22116,135.94616,NA,NA,NA,9855.09305
30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9899359
31,73.232,106.761,82.826,97.8,132.47,81.25,65.5,96.01,138.73,270.10082,89.82971,74.44269,212.73894,246.56171,156.22499,277.37149,243.30257,NA,NA,NA,6735.87216
32,74.521,94.808,100.167,119.62,121.95,94.79,75.4,93.06,136.91,260.3095,113.7056,69.4223,185.8893,274.4317,199.278,234.2552,291.8659,NA,NA,NA,6253.2995
32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23742
33,84.356,86.763,79.901,113.56,113.12,95.5,74.43,83.62,153.47,254.77072,100.46131,86.46451,208.67596,293.54172,196.3198,313.88092,309.25826,NA,NA,NA,5946.00371
33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.949679
34,84.845,96.589,106.261,121.87,117,91.17,91.58,121.41,127.92,242.56983,122.67589,95.05402,136.07364,204.19464,181.96839,237.86569,378.75182,NA,NA,NA,6335.43158
35,98.671,99.997,85.319,111.11,94.02,104.71,72.03,80.9,145.5,230.93705,136.33462,89.83783,77.80601,220.73644,201.60676,259.64413,277.39038,NA,NA,NA,14996.62818
36,79.516,92.357,96.931,109.46,93.57,88.91,71.59,70.69,129.35,275.5194,128.1026,65.11155,101.82854,218.99098,247.12683,212.34899,291.86566,NA,NA,NA,6776.80099
36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.722324
37,80.956,93.199,111.506,111.95,100.2,87.58,59.65,70.49,116.42,201.59205,119.32767,77.7687,93.62444,188.71983,255.70225,214.52691,209.49803,NA,NA,NA,7006.4109
