Length,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
19.5,0,0,0,0.4278012,0,0,0,1.925180972,0.086324194,0,0,0,0,0,0
20.5,0,0,0,0.208464,0,3.725895504,0,2.618460608,1.225878259,0.288869068,0.073270385,0,0,0,0
21.5,1.2283186,0.4331012,1.85558532,0.208464,0.34074235,31.51267244,0,4.935728924,0.23019785,0.288869068,0.494505969,0,0,0,0.4686514
22.5,7.5680499,1.2993035,1.47165951,14.0293202,4.359958762,48.08626555,9.727905709,19.92280966,7.757059664,1.588939709,0,1.179097217,3.198890041,0,1.2359886
23.5,4.7144415,2.3820564,0.65101532,3.4320508,15.18738563,30.37338368,22.11957484,30.62246082,9.812352413,4.259613834,0,2.096245106,0.137976737,3.353879466,0.9650107
24.5,11.0718692,5.1605511,1.43134757,11.0738174,20.29119542,101.0602714,52.73785898,52.62019301,26.22316168,29.12628595,8.343967274,2.499103114,8.251075197,0,1.4707146
25.5,5.5934058,5.6589549,3.12487888,41.2936577,45.07823737,112.9773485,46.43204976,64.82684912,27.87201743,30.4252062,10.31358402,2.724917696,27.38540891,7.951858287,6.2572716
26.5,42.0812013,7.3184247,10.88253104,57.8870601,126.4271992,144.1698308,74.98184737,121.3467649,31.95999989,37.97409701,7.678719873,8.073308123,36.17169844,6.484167021,7.1140962
27.5,74.4290422,24.4009754,23.37772563,90.9148166,186.8494346,194.5705396,94.3889139,110.5604246,52.40879378,62.80546801,21.95980206,11.04225484,46.66522686,26.6310488,14.8090012
28.5,26.7656391,23.5696319,46.3579477,57.6871858,205.4609268,269.1923684,144.3930954,141.0420999,59.52586537,89.21966563,13.74555107,5.35499174,36.85188515,25.448733,11.7608812
29.5,147.7937355,53.1543451,57.65503318,145.0657151,246.371565,311.3010414,219.6136007,188.8675216,62.36694739,82.72762073,33.35807423,10.95408012,142.0828644,54.67809138,35.446496
