"LENGTH","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
0.9,NA,NA,NA,NA,3.067777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,2.954676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3,NA,NA,NA,NA,2.570026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4,NA,NA,NA,NA,1.994564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5,NA,NA,NA,NA,9.731647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.6,NA,NA,NA,NA,8.70177151,0.01422561,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7,NA,NA,NA,0.15755636,29.95564899,0.04449209,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.8,NA,NA,NA,NA,7.50676272,0.06571142,NA,NA,0.08632419,NA,NA,NA,NA,NA,NA
1.9,NA,NA,NA,1.120109,18.3416634,0.2181671,NA,3.9329315,0.2877473,NA,NA,NA,NA,NA,NA
2,NA,0.33512441,NA,0.36602036,24.04737205,11.5036138,NA,6.74550331,2.09653648,0.28886907,0.07327038,NA,NA,NA,NA
2.1,2.4566372,1.10335,1.9447182,3.0947909,71.2829257,76.9452778,3.0973944,20.3306272,2.6821773,1.7135503,0.494506,NA,7.0486422,NA,0.4686514
2.2,17.718696,1.536451,1.47166,17.095351,48.387504,131.864391,23.788176,46.39937,19.84219,2.580317,0.494506,1.179097,3.19889,8.346772,2.590879
2.3,9.4424862,8.7805972,1.0242738,12.651369,77.5979183,83.19829,59.0985212,64.8176225,20.8909806,8.5791285,1.2325718,3.1776255,0.1379767,10.0616386,1.6876186
2.4,37.98765,12.138621,10.704532,30.889606,137.714017,230.885358,96.340554,105.416187,50.912707,51.578237,18.649436,3.474124,12.888326,24.14369,3.99479
2.5,21.295993,20.60266,13.73431,78.349783,237.982836,237.020024,100.973406,195.20494,50.954158,53.724709,21.680544,5.397504,35.37175,25.492533,15.951985
2.6,101.80068,30.12871,24.968,126.6888,427.22553,404.33002,187.55829,348.60427,70.2247,118.14266,19.88515,19.68391,52.75957,70.16759,17.26578
2.7,168.6298,56.6745,56.10039,157.18102,550.829,475.45222,246.26047,408.76576,125.90019,200.42087,42.10096,25.86031,86.67067,93.74326,31.87216
2.8,72.42483,68.85617,151.34475,152.95402,599.97428,499.88981,323.29025,495.65765,140.78272,259.17928,39.66409,14.39819,87.07941,73.31185,35.0948
2.9,291.32782,142.34778,180.51958,145.06572,671.87828,710.02957,611.93244,647.09403,185.00233,231.4137,84.34417,19.813,271.14697,134.4053,95.4774
3,191.84609,208.28474,366.82835,238.56944,758.54345,3217.4789,611.36176,661.58291,205.65464,333.88424,110.70495,17.96749,320.83329,233.62332,115.83725
3.1,187.19262,259.5731,309.62909,181.62349,611.35192,1073.53724,574.97662,573.53041,222.261,247.81828,174.08162,61.26023,573.15328,221.95088,147.60875
