Length,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
17.5,0,0,0,0.15755636,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0.34074235,0,0,0,0.086324194,0,0,0,0,0,0
19.5,0,0,0,0.69230781,0,0,0,2.007750505,0.201423119,0,0,0,0,0,0
20.5,0,0.33512441,0,0.15755636,0.395543803,7.451791009,0,4.127042705,0.870658217,0,0,0,0,0,0
21.5,1.2283186,0.67024881,0.08913286,2.88632693,11.83369627,44.88560537,3.097394399,15.39489829,2.451979477,1.42468128,0,0,7.048642234,0,0
22.5,10.1506461,0.23714764,0,3.06603045,9.896538188,82.99330377,14.06027043,26.47656043,12.08513051,0.991377677,0.494505969,0,0,3.353879466,1.3548899
23.5,4.7280447,6.39854078,0.37325852,9.21931822,42.92343025,50.48959259,36.97894638,34.19516167,11.07862818,4.319514692,1.232571813,1.081380428,0,6.707759065,0.7226079
24.5,26.9157805,6.9780702,9.27318406,19.81578813,61.93974298,127.5624536,43.60269457,52.79599365,24.68954495,22.45195088,10.30546851,0.975021286,4.637250699,6.707759065,2.5240758
25.5,15.702587,14.94370544,10.60943147,37.05612548,100.7794686,121.4876114,54.54135591,130.3780909,23.08214037,23.29950232,11.36696044,2.672585924,7.986341481,17.5406743,9.6947134
26.5,59.7194795,22.81028165,14.08547076,68.80173629,211.1824514,256.3781139,112.5764475,227.2575029,38.26470086,80.16856098,12.2064273,11.61059977,16.58787614,7.421334984,10.1516877
27.5,94.2007538,32.27352675,32.72266785,66.26620035,266.1452422,277.2706321,151.8715523,298.2053358,73.49139941,137.615399,20.14115593,14.81805345,40.00544008,36.35914971,17.0631555
28.5,45.659189,45.28653598,104.9868054,95.26683453,336.3814439,227.6417361,178.8971496,354.6155545,81.25685128,169.9596149,25.91853893,9.043197439,50.22752053,32.66223816,23.3339222
29.5,143.5340882,89.19343528,122.8645447,169.349855,394.6037418,396.031499,392.3188423,458.2265074,122.635386,148.6860765,50.98609363,8.858919874,129.0641054,59.18213689,60.0309032
30.5,115.1214506,133.1409584,230.5729814,234.287029,405.8425529,616.373767,321.4557179,365.0605904,145.4381688,204.7909149,66.71629758,7.391451724,163.2894221,118.9807197,79.8114001
