"LENGTH","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1989007,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8321,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1229,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1265625,1.206,NA,NA,0.4086248,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.672188,4.69,0.469,NA,847.4233,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.037,18.88416,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.065975,1.0411632,0.9037512,0.6853536,NA
14,NA,NA,NA,NA,2.0175065,NA,NA,NA,NA,1.0185,45.031425,0.4728,0.6025008,52.772578,NA
15,NA,NA,NA,NA,2.4871804,NA,42.721,NA,NA,17.8291833,25.039375,2.1795607,0.6025008,849.1877512,NA
16,NA,NA,NA,NA,0.85506828,NA,85.616,NA,0.971146,22.42491667,40.00282,3.53300451,0.60250081,1.76445122,0.06514902
17,NA,NA,NA,NA,0.7770439,NA,NA,NA,NA,23.766725,15.294075,5.8794947,0.6025008,0.5213829,0.1708027
18,NA,NA,NA,NA,1.672752,NA,NA,NA,NA,36.068917,9.257675,11.800228,NA,12.066578,2.269235
19,NA,NA,0.9463151,NA,NA,NA,NA,NA,NA,34.0014417,7.05265,10.9729429,NA,11.6810537,1.5250238
20,NA,NA,NA,NA,NA,3.020542,NA,NA,NA,39.522654,3.611065,10.066759,NA,3.647047,2.163582
21,NA,NA,NA,NA,0.8550683,0.277188,NA,NA,NA,16.4757875,6.345295,5.9699716,NA,7.3015054,2.2082345
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1792083,1.22742,4.1214625,NA,5.1702494,0.6100095
23,NA,NA,1.2578,NA,1.7043383,NA,NA,NA,NA,20.9575208,2.144,1.789791,0.2815067,9.9235188,1.5901728
24,NA,12.89525,NA,NA,3.1946732,NA,NA,NA,NA,10.9646667,1.242395,0.525,0.6025008,10.6440511,0.7808122
25,NA,NA,NA,0.4114712,1.7427538,NA,NA,NA,NA,1.09125,NA,0.5881457,0.2815067,5.1450566,1.6592259
26,NA,12.89525,NA,0.08908594,NA,0.2698703,NA,NA,NA,12.67258333,NA,0.075,0.60250081,5.33838799,NA
27,NA,NA,NA,NA,3.181327,NA,NA,NA,NA,4.421,0.62524,1.0858,NA,3.533773,NA
28,NA,NA,1.2578,NA,2.017507,NA,NA,NA,NA,NA,1.035646,0.075,1.041466,2.486875,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07775,0.469,0.16875,NA,1.181022,NA
